section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Lenovo,,,3472895.0,0.01585823407831965
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Motorola,,,5066664.0,0.02313584018756552
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,OnePlus,,,4176941.0,0.019073109929707222
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Oppo,,,26438928.0,0.12072772398930565
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Others,,,19490728.0,0.08900025108183779
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Realme,,,12034857.0,0.05495460686404392
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Samsung,,,43708551.0,0.19958577295949706
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Vivo,,,38093292.0,0.17394489074670594
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,Xiaomi,,,56202867.0,0.25663840132185595
aggregated,user,country,india,,2020,2,2020-Q2,data/aggregated/user/country/india/2020/2.json,,,,,218996326.0,4357634272.0,,
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Apple,,,6523683.0,0.02705017860806327
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Huawei,,,4565437.0,0.01893039350223801
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Lenovo,,,3679349.0,0.015256266684233275
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Motorola,,,5363550.0,0.02223973566362402
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,OnePlus,,,4382412.0,0.018171487997519158
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Oppo,,,29530065.0,0.122445178982136
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Others,,,20809932.0,0.08628751234872253
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Realme,,,13737667.0,0.05696266143037556
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Samsung,,,48012276.0,0.19908089359639786
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Vivo,,,43182078.0,0.179052679685282
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,Xiaomi,,,61383234.0,0.2545230115014083
aggregated,user,country,india,,2020,3,2020-Q3,data/aggregated/user/country/india/2020/3.json,,,,,241169683.0,5739326491.0,,
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Apple,,,7052763.0,0.026687586532525877
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Huawei,,,4915828.0,0.01860144529583847
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Lenovo,,,3880170.0,0.01468252550609044
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Motorola,,,5650618.0,0.02138188350257173
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,OnePlus,,,4621214.0,0.017486628787940276
aggregated,user,country,india,,2020,4,2020-Q4,data/aggregated/user/country/india/2020/4.json,,,,Oppo,,,32684041.0,0.12367609296103152
