section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,transaction,country,india,,2021,3,2021-Q3,data/aggregated/transaction/country/india/2021/3.json,Others,13558464,7146868847.2897215,,,,,
aggregated,transaction,country,india,,2021,3,2021-Q3,data/aggregated/transaction/country/india/2021/3.json,Peer-to-peer payments,2215575286,7429357587018.912,,,,,
aggregated,transaction,country,india,,2021,3,2021-Q3,data/aggregated/transaction/country/india/2021/3.json,Recharge & bill payments,714583744,349234592690.4992,,,,,
aggregated,transaction,country,india,,2021,4,2021-Q4,data/aggregated/transaction/country/india/2021/4.json,Financial Services,4141629,5028434834.240034,,,,,
aggregated,transaction,country,india,,2021,4,2021-Q4,data/aggregated/transaction/country/india/2021/4.json,Merchant payments,3152394530,1995855822160.6426,,,,,
aggregated,transaction,country,india,,2021,4,2021-Q4,data/aggregated/transaction/country/india/2021/4.json,Others,14562602,9296993478.869577,,,,,
aggregated,transaction,country,india,,2021,4,2021-Q4,data/aggregated/transaction/country/india/2021/4.json,Peer-to-peer payments,2716561423,9203910371491.78,,,,,
aggregated,transaction,country,india,,2021,4,2021-Q4,data/aggregated/transaction/country/india/2021/4.json,Recharge & bill payments,738096162,407266894783.10693,,,,,
aggregated,transaction,country,india,,2022,1,2022-Q1,data/aggregated/transaction/country/india/2022/1.json,Financial Services,4035100,4921211866.489969,,,,,
aggregated,transaction,country,india,,2022,1,2022-Q1,data/aggregated/transaction/country/india/2022/1.json,Merchant payments,3748851071,2272818129376.5205,,,,,
aggregated,transaction,country,india,,2022,1,2022-Q1,data/aggregated/transaction/country/india/2022/1.json,Others,16393502,8422766458.459174,,,,,
aggregated,transaction,country,india,,2022,1,2022-Q1,data/aggregated/transaction/country/india/2022/1.json,Peer-to-peer payments,3074250150,10505936803336.926,,,,,
aggregated,transaction,country,india,,2022,1,2022-Q1,data/aggregated/transaction/country/india/2022/1.json,Recharge & bill payments,749674246,447599848131.41187,,,,,
aggregated,transaction,country,india,,2022,2,2022-Q2,data/aggregated/transaction/country/india/2022/2.json,Financial Services,3272822,3889787479.819907,,,,,
aggregated,transaction,country,india,,2022,2,2022-Q2,data/aggregated/transaction/country/india/2022/2.json,Merchant payments,4765203787,2847096877386.341,,,,,
aggregated,transaction,country,india,,2022,2,2022-Q2,data/aggregated/transaction/country/india/2022/2.json,Others,11241480,6711034131.16017,,,,,
aggregated,transaction,country,india,,2022,2,2022-Q2,data/aggregated/transaction/country/india/2022/2.json,Peer-to-peer payments,3506141323,12123524700463.535,,,,,
aggregated,transaction,country,india,,2022,2,2022-Q2,data/aggregated/transaction/country/india/2022/2.json,Recharge & bill payments,845751926,523046092987.93964,,,,,
aggregated,transaction,country,india,,2022,3,2022-Q3,data/aggregated/transaction/country/india/2022/3.json,Financial Services,3959631,4514223164.469998,,,,,
aggregated,transaction,country,india,,2022,3,2022-Q3,data/aggregated/transaction/country/india/2022/3.json,Merchant payments,5618132071,3151614767860.314,,,,,
aggregated,transaction,country,india,,2022,3,2022-Q3,data/aggregated/transaction/country/india/2022/3.json,Others,10005043,6725900102.770244,,,,,
aggregated,transaction,country,india,,2022,3,2022-Q3,data/aggregated/transaction/country/india/2022/3.json,Peer-to-peer payments,3957113406,12837803371386.29,,,,,
aggregated,transaction,country,india,,2022,3,2022-Q3,data/aggregated/transaction/country/india/2022/3.json,Recharge & bill payments,956164949,607048699730.3645,,,,,
aggregated,transaction,country,india,,2022,4,2022-Q4,data/aggregated/transaction/country/india/2022/4.json,Financial Services,4623387,5360528394.309982,,,,,
