metric,category,count,amount,section,dtype,map_kind,geo_level,geo_name,year,quarter,registeredUsers,appOpens,brand,brand_count,brand_pct,name,level,period,geo,section_type
transactions,Recharge & bill payments,389851.0,257250007.2445577,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,1574.0,1406138.1883251297,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,18853.0,8230536.662513691,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Peer-to-peer payments,766698.0,3293060119.5471582,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,390906.0,331423259.0003719,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,361577.0,214425229.3354035,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,1797.0,3982005.1176844486,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,7032.0,4125116.689457224,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,981986.0,4178346395.412492,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,796634.0,604271248.9262259,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Recharge & bill payments,366353.0,296964794.9657042,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,2643.0,5254415.457263877,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Others,10470.0,4972498.603385328,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,1322026.0,939307675.8510206,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
